"filename", "language", "C++", "comment", "blank", "total"
"/Users/rainchen/CodingSpace/Library-cli/Library-cli/commandn.cpp", "C++", 124, 15, 10, 149
"/Users/rainchen/CodingSpace/Library-cli/Library-cli/commandn.hpp", "C++", 21, 9, 9, 39
"/Users/rainchen/CodingSpace/Library-cli/Library-cli/commands.cpp", "C++", 216, 25, 12, 253
"/Users/rainchen/CodingSpace/Library-cli/Library-cli/commands.hpp", "C++", 20, 9, 9, 38
"/Users/rainchen/CodingSpace/Library-cli/Library-cli/main.cpp", "C++", 92, 21, 14, 127
"/Users/rainchen/CodingSpace/Library-cli/Library-cli/welcome.cpp", "C++", 15, 6, 4, 25
"/Users/rainchen/CodingSpace/Library-cli/Library-cli/welcome.hpp", "C++", 8, 6, 6, 20
"Total", "-", 496, 91, 64, 651
