"filename", "language", "C++", "Markdown", "Makefile", "comment", "blank", "total"
"/Users/rainchen/CodingSpace/Pineapple/README.md", "Markdown", 0, 80, 0, 0, 64, 144
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/Makefile", "Makefile", 0, 0, 45, 26, 21, 92
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/include/account.h", "C++", 31, 0, 0, 4, 6, 41
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/include/book.h", "C++", 37, 0, 0, 4, 6, 47
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/include/log4lib.h", "C++", 13, 0, 0, 4, 6, 23
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/include/usermode.h", "C++", 13, 0, 0, 4, 6, 23
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/include/welcome.h", "C++", 16, 0, 0, 5, 5, 26
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/src/account.cpp", "C++", 214, 0, 0, 16, 3, 233
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/src/book.cpp", "C++", 414, 0, 0, 44, 2, 460
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/src/log4lib.cpp", "C++", 59, 0, 0, 11, 2, 72
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/src/main.cpp", "C++", 185, 0, 0, 78, 2, 265
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/src/usermode.cpp", "C++", 17, 0, 0, 6, 2, 25
"/Users/rainchen/CodingSpace/Pineapple/digiLibrary-CLI/src/welcome.cpp", "C++", 14, 0, 0, 5, 2, 21
"Total", "-", 1013, 80, 45, 207, 127, 1472
